"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","SYH","SYD","SYA","WHH","WHD","WHA"
"1","I1","25/08/01","Bologna","Atalanta",1,0,"H",1,0,"H",NA,NA,NA,1.9,2.8,3.3,NA,NA,NA,NA,NA,NA,1.91,3,3.75,1.9,3,3.75
"2","I1","26/08/01","Brescia","Milan",2,2,"D",2,0,"H",NA,NA,NA,3,2.8,2.1,NA,NA,NA,NA,NA,NA,3.2,3,2.1,3.3,2.87,2.1
"3","I1","26/08/01","Fiorentina","Chievo",0,2,"A",0,1,"A",NA,NA,NA,1.45,3.5,5,NA,NA,NA,NA,NA,NA,1.4,3.75,7,1.44,3.75,6
"4","I1","26/08/01","Inter","Perugia",4,1,"H",2,0,"H",NA,NA,NA,1.4,3.6,5.5,NA,NA,NA,NA,NA,NA,1.29,4.33,8.5,1.25,4.5,10
"5","I1","26/08/01","Juventus","Venezia",4,0,"H",3,0,"H",NA,NA,NA,1.2,4.7,9,NA,NA,NA,NA,NA,NA,1.2,5,11,1.2,5,11
"6","I1","26/08/01","Lazio","Piacenza",1,1,"D",0,0,"D",NA,NA,NA,1.2,4.7,9,NA,NA,NA,NA,NA,NA,1.22,5,9,1.25,4.5,10
"7","I1","26/08/01","Lecce","Parma",1,1,"D",1,0,"H",NA,NA,NA,2.8,2.8,2.2,NA,NA,NA,NA,NA,NA,2.8,2.88,2.38,2.6,2.8,2.6
"8","I1","26/08/01","Udinese","Torino",2,2,"D",0,2,"A",NA,NA,NA,1.75,3.1,3.6,NA,NA,NA,NA,NA,NA,1.8,3.2,4,1.9,3,3.75
"9","I1","26/08/01","Verona","Roma",1,1,"D",0,1,"A",NA,NA,NA,3.8,2.9,1.75,NA,NA,NA,NA,NA,NA,4.33,3,1.8,4.5,3.1,1.72
"10","I1","08/09/01","Perugia","Lazio",0,0,"D",0,0,"D",NA,NA,NA,3.2,2.9,1.9,NA,NA,NA,3.25,3,2.1,3.2,3,2.1,3.6,2.87,2
"11","I1","08/09/01","Roma","Udinese",1,1,"D",0,0,"D",NA,NA,NA,1.35,3.8,6.2,NA,NA,NA,1.3,4.33,8.5,1.29,4.33,8.5,1.25,4.5,10
"12","I1","09/09/01","Atalanta","Juventus",0,2,"A",0,1,"A",NA,NA,NA,3.6,2.9,1.8,NA,NA,NA,3.6,3.1,1.95,3.75,3,1.91,3.75,3.2,1.83
"13","I1","09/09/01","Chievo","Bologna",2,0,"H",1,0,"H",NA,NA,NA,2.45,2.8,2.45,NA,NA,NA,2.4,2.9,2.8,2.38,2.8,2.88,2.37,2.9,2.8
"14","I1","09/09/01","Milan","Fiorentina",5,2,"H",3,1,"H",NA,NA,NA,1.35,3.8,6.2,NA,NA,NA,1.4,3.75,7,1.4,3.75,7,1.36,3.75,8
"15","I1","09/09/01","Parma","Inter",2,2,"D",1,2,"A",NA,NA,NA,2.3,2.7,2.7,NA,NA,NA,2.38,3,2.75,2.38,2.88,2.8,2.4,2.9,2.75
"16","I1","09/09/01","Piacenza","Lecce",1,2,"A",1,0,"H",NA,NA,NA,1.9,2.7,3.4,NA,NA,NA,1.91,3,3.75,1.91,3,3.75,1.9,3,3.75
"17","I1","09/09/01","Torino","Brescia",1,3,"A",1,1,"D",NA,NA,NA,1.9,2.7,3.4,NA,NA,NA,2.2,2.9,3.1,2.1,3,3.2,2.1,2.87,3.3
"18","I1","09/09/01","Venezia","Verona",0,1,"A",0,0,"D",NA,NA,NA,2.1,2.8,3,NA,NA,NA,2.25,2.9,3,2.2,3,3,2.2,2.8,3.2
"19","I1","15/09/01","Juventus","Chievo",3,2,"H",2,2,"D",NA,NA,NA,1.2,4.7,9,NA,NA,NA,1.22,5,10,1.2,5.5,9,1.2,5,11
"20","I1","16/09/01","Bologna","Parma",1,0,"H",0,0,"D",NA,NA,NA,2.4,2.7,2.6,NA,NA,NA,2.5,3,2.6,2.5,2.88,2.62,2.4,2.87,2.8
"21","I1","16/09/01","Brescia","Lecce",1,1,"D",0,1,"A",NA,NA,NA,1.7,3.1,3.8,NA,NA,NA,1.73,3.2,4.33,1.8,3.1,4,1.72,3.1,4.5
"22","I1","16/09/01","Fiorentina","Atalanta",3,1,"H",2,1,"H",NA,NA,NA,1.9,2.7,3.4,NA,NA,NA,2,3.2,3.3,2,3,3.4,2,3,3.4
"23","I1","16/09/01","Inter","Venezia",2,1,"H",0,0,"D",NA,NA,NA,1.2,4.7,9,NA,NA,NA,1.2,5.25,10,1.22,5,9,1.22,5,9.5
"24","I1","16/09/01","Lazio","Torino",0,0,"D",0,0,"D",NA,NA,NA,1.3,4,7,NA,NA,NA,1.29,4.33,8.5,1.29,4.5,8,1.3,4.2,8.5
"25","I1","16/09/01","Piacenza","Roma",2,0,"H",1,0,"H",NA,NA,NA,3.5,2.8,1.85,NA,NA,NA,4,3,1.85,4,3,1.83,4,2.87,1.9
"26","I1","16/09/01","Udinese","Milan",1,2,"A",0,1,"A",NA,NA,NA,3,2.8,2.1,NA,NA,NA,3.25,3,2.1,3,3,2.2,3.25,2.9,2.1
"27","I1","16/09/01","Verona","Perugia",1,1,"D",0,1,"A",NA,NA,NA,1.8,2.9,3.6,NA,NA,NA,1.91,3,3.75,1.91,3,3.75,1.9,2.87,4
"28","I1","22/09/01","Lecce","Juventus",0,0,"D",0,0,"D",NA,NA,NA,3.3,2.8,1.9,NA,NA,NA,3.75,3.2,1.85,4,3.1,1.8,4,2.87,1.9
"29","I1","23/09/01","Atalanta","Verona",1,0,"H",1,0,"H",NA,NA,NA,2.1,2.8,3,NA,NA,NA,2,3,3.5,2,3,3.4,2,2.9,3.6
"30","I1","23/09/01","Chievo","Piacenza",4,2,"H",2,1,"H",NA,NA,NA,2.1,2.8,3,NA,NA,NA,2,3,3.5,2,3,3.4,1.9,3,3.75
"31","I1","23/09/01","Milan","Lazio",2,0,"H",1,0,"H",NA,NA,NA,2,2.7,3.2,NA,NA,NA,1.85,3.2,3.75,1.83,3.2,3.75,1.83,3.2,3.75
"32","I1","23/09/01","Parma","Brescia",1,0,"H",0,0,"D",NA,NA,NA,1.75,3.1,3.6,NA,NA,NA,1.7,3.2,4.5,1.62,3.25,5,1.61,3.1,5.5
"33","I1","23/09/01","Perugia","Udinese",1,2,"A",1,1,"D",NA,NA,NA,2,2.8,3.1,NA,NA,NA,2,3,3.5,2.1,3,3.2,2.1,2.75,3.5
"34","I1","23/09/01","Roma","Fiorentina",2,1,"H",1,1,"D",NA,NA,NA,1.45,3.5,5,NA,NA,NA,1.4,3.75,7,1.36,4,7,1.4,3.6,7.5
"35","I1","23/09/01","Torino","Inter",0,1,"A",0,0,"D",NA,NA,NA,3,2.8,2.1,NA,NA,NA,3.4,3.1,2,3.2,3,2.1,3.4,2.8,2.1
"36","I1","23/09/01","Venezia","Bologna",0,1,"A",0,0,"D",NA,NA,NA,2.4,2.7,2.6,NA,NA,NA,2.38,3,2.75,2.38,2.88,2.8,2.37,2.8,2.87
"37","I1","29/09/01","Juventus","Roma",0,2,"A",0,1,"A",NA,NA,NA,1.9,2.8,3.3,NA,NA,NA,1.91,3.1,3.75,1.91,3,3.75,1.83,3,4
"38","I1","30/09/01","Brescia","Atalanta",3,3,"D",1,3,"A",NA,NA,NA,1.7,2.9,4.2,1.8,3.2,4,1.85,3,4,1.91,3,3.75,1.83,3,4
"39","I1","30/09/01","Fiorentina","Venezia",3,1,"H",1,0,"H",NA,NA,NA,1.5,3.2,5,1.44,3.6,6.5,1.44,3.6,6.5,1.44,3.6,6.5,1.5,3.6,5.5
"40","I1","30/09/01","Inter","Bologna",1,0,"H",1,0,"H",NA,NA,NA,1.45,3.5,5,1.4,3.75,7,1.44,3.6,7,1.4,3.75,7,1.44,3.6,6.5
"41","I1","30/09/01","Lazio","Parma",0,0,"D",0,0,"D",NA,NA,NA,1.7,3,4,1.8,3.2,4,2,3.1,3.4,1.83,3,4,1.9,3.1,3.6
"42","I1","30/09/01","Perugia","Milan",3,1,"H",0,0,"D",NA,NA,NA,3.3,2.8,1.9,4,3.2,1.8,4.2,3.1,1.8,4,3,1.83,4,2.87,1.9
"43","I1","30/09/01","Piacenza","Torino",3,1,"H",2,0,"H",NA,NA,NA,2,2.6,3.4,2,2.8,3.75,2,2.9,3.6,2,2.88,3.6,1.9,2.87,4
"44","I1","30/09/01","Udinese","Chievo",1,2,"A",1,2,"A",NA,NA,NA,1.65,3.1,4,1.83,3.2,3.75,2,2.9,3.6,2,2.88,3.6,1.9,3.2,3.5
"45","I1","30/09/01","Verona","Lecce",2,1,"H",1,1,"D",NA,NA,NA,2,2.6,3.4,2.1,3,3.2,2,2.9,3.6,1.91,3,3.75,1.9,2.87,4
"46","I1","13/10/01","Lazio","Atalanta",2,0,"H",1,0,"H",NA,NA,NA,1.5,3.5,5.5,NA,NA,NA,NA,NA,NA,1.5,3.25,6.5,1.4,3.6,7.5
"47","I1","13/10/01","Perugia","Roma",0,0,"D",0,0,"D",NA,NA,NA,3.4,2.9,2,3.2,3,2.1,NA,NA,NA,3.75,3,1.91,3.6,2.87,2
