"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","B365H","B365D","B365A","GBH","GBD","GBA","IWH","IWD","IWA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","GBAHH","GBAHA","GBAH","X","X.1","X.2","X.3","X.4","X.5"
"1","SP2","30/08/03","Almeria","Malaga B",3,2,"H",3,1,"H",NA,NA,NA,2,2.87,3.75,NA,NA,NA,2,2.75,3.8,2.1,2.7,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","SP2","30/08/03","Cadiz","Poli Ejido",2,1,"H",0,0,"D",NA,NA,NA,2.2,2.75,3.35,NA,NA,NA,2.2,2.75,3.25,2.2,2.6,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","SP2","31/08/03","Ciudad de Murcia","Recreativo",1,1,"D",1,0,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2.75,2.5,2.85,2.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","SP2","31/08/03","Eibar","Algeciras",2,1,"H",0,0,"D",NA,NA,NA,2,2.87,3.75,NA,NA,NA,1.95,2.87,3.75,2.05,2.75,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","SP2","31/08/03","Leganes","Salamanca",0,0,"D",0,0,"D",NA,NA,NA,2.2,2.75,3.35,NA,NA,NA,2.3,2.75,3.1,2,2.7,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","SP2","31/08/03","Numancia","Cordoba",1,0,"H",0,0,"D",NA,NA,NA,2.15,2.75,3.5,NA,NA,NA,2.1,2.8,3.4,2.1,2.65,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","SP2","31/08/03","Sp Gijon","Getafe",0,2,"A",0,0,"D",NA,NA,NA,2.1,2.75,3.65,NA,NA,NA,2.1,2.75,3.5,2,2.7,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","SP2","31/08/03","Tenerife","Alaves",1,0,"H",1,0,"H",NA,NA,NA,2.25,2.75,3.25,NA,NA,NA,2.3,2.8,3,2.2,2.65,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","SP2","31/08/03","Terrassa","Xerez",1,1,"D",0,0,"D",NA,NA,NA,2.35,2.8,3,NA,NA,NA,2.37,2.7,3,2.45,2.75,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","SP2","31/08/03","Vallecano","Levante",0,2,"A",0,2,"A",NA,NA,NA,2,2.87,3.75,NA,NA,NA,1.8,3,4.2,1.95,2.75,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
